BatchStart
|name    |ra     |dec   |app_mag|app_mag_flag|limit_ang_diameter|ang_diameter|source_type|
|NGC 6005|15 55.8|-57 26| 10.7  |            |                  |  3.0       |OC         |
|NGC 7205|22 08.5|-57 25| 11.0  |p           |                  |  4.3       |Gx         |
|NGC 1853|05 12.3|-57 24|       |            |                  |  2.0       |Gx         |
|IC 1996 |03 45.0|-57 20|       |            |                  |            |U          |
|NGC 6699|18 52.1|-57 19| 13.0  |p           |                  |  1.9       |Gx         |
|IC 5033 |20 43.8|-57 19|       |            |                  |            |U          |
|IC 5064 |20 52.6|-57 14|       |            |                  |  1.6       |Gx         |
|IC 1955 |03 31.4|-57 13|       |            |                  |            |U          |
|IC 4826 |19 12.3|-57 12|       |            |                  |  1.7       |Gx         |
|IC 1960 |03 32.6|-57 12|       |            |                  |  1.2       |Gx         |
|NGC 3918|11 50.3|-57 11|  8.0  |p           |                  |  0.2       |Pl         |
|IC 4775 |18 48.4|-57 11|       |            |                  |  1.4       |Gx         |
|IC 4757 |18 43.9|-57 10|       |            |                  |  1.6       |Gx         |
|IC 5035 |20 44.3|-57 08|       |            |                  |            |U          |
|IC 5063 |20 52.0|-57 05| 12.0  |            |                  |  1.9       |Gx         |
|NGC 6753|19 11.4|-57 03| 12.0  |p           |                  |  2.5       |Gx         |
|NGC 25  |00 09.9|-57 03|       |            |                  |            |Gx         |
|IC 5034 |20 43.7|-57 02|       |            |                  |  1.6       |Gx         |
|NGC 28  |00 10.3|-57 01|       |            |                  |            |Gx         |
|NGC 31  |00 10.5|-57 00|       |            |                  |            |Gx         |
|IC 2488 |09 27.6|-56 59|  7.0  |p           |                  | 15.0       |OC         |
|IC 5043 |20 46.7|-56 59|       |            |                  |            |U          |
|NGC 119 |00 27.1|-56 59|       |            |                  |            |Gx         |
|IC 4716 |18 32.7|-56 58|       |            |                  |            |U          |
|NGC 1574|04 22.0|-56 58| 10.5  |            |                  |  2.0       |Gx         |
|NGC 37  |00 11.3|-56 58|       |            |                  |            |Gx         |
|IC 1999 |03 47.7|-56 57|       |            |                  |            |U          |
|IC 4807 |19 02.3|-56 56|       |            |                  |  0.9       |Gx         |
|IC 4910 |19 57.8|-56 52|       |            |                  |            |U          |
|IC 4965 |20 12.5|-56 50|       |            |                  |  1.5       |Gx         |
|IC 4848 |19 22.8|-56 47|       |            |                  |            |U          |
|NGC 754 |01 54.4|-56 46|       |            |                  |  0.7       |Gx         |
|IC 5012 |20 29.5|-56 45|       |            |                  |  1.4       |Gx         |
|IC 2014 |03 55.4|-56 45|       |            |                  |  1.4       |Gx         |
|IC 4719 |18 33.2|-56 44|       |            |                  |  1.3       |Gx         |
|NGC 852 |02 08.9|-56 44|       |            |                  |            |Gx         |
|IC 4786 |18 52.7|-56 42|       |            |                  |            |U          |
|NGC 745 |01 54.2|-56 41|       |            |                  |  1.5       |Gx         |
|IC 4832 |19 14.1|-56 37|       |            |                  |  2.0       |Gx         |
|IC 2060 |04 17.9|-56 37|       |            |                  |  1.3       |Gx         |
|NGC 5662|14 35.2|-56 33|  5.5  |            |                  | 12.0       |OC         |
|IC 4890 |19 45.6|-56 33|       |            |                  |  1.3       |Gx         |
|IC 1965 |03 33.2|-56 33|       |            |                  |  1.3       |Gx         |
|IC 4829 |19 12.6|-56 32|       |            |                  |  2.0       |Gx         |
|NGC 1536|04 11.0|-56 29| 13.0  |p           |                  |  2.0       |Gx         |
|NGC 5999|15 52.2|-56 28|  9.0  |p           |                  |  5.0       |OC         |
|NGC 3033|09 48.8|-56 25|  8.8  |            |                  |  5.0       |OC         |
|IC 4792 |18 55.7|-56 25|       |            |                  |            |U          |
|IC 4880 |19 40.5|-56 25|       |            |                  |  1.5       |Gx         |
|NGC 6855|20 06.8|-56 24|       |            |                  |            |Gx         |
|NGC 6862|20 08.9|-56 24|       |            |                  |  1.9       |Gx         |
|IC 4902 |19 54.4|-56 23|       |            |                  |            |U          |
|NGC 3882|11 46.1|-56 22|       |            |                  |            |Gx         |
|NGC 6758|19 13.9|-56 19| 13.0  |p           |                  |  2.1       |Gx         |
|IC 4679 |18 11.4|-56 15|       |            |                  |  1.9       |Gx         |
|IC 4937 |20 05.3|-56 15|       |            |                  |  2.0       |Gx         |
|IC 5079 |21 05.5|-56 15|       |            |                  |            |OC         |
|IC 4840 |19 15.9|-56 13|       |            |                  |  1.1       |Gx         |
|NGC 215 |00 40.8|-56 13|       |            |                  |  1.2       |Gx         |
|IC 4709 |18 24.3|-56 12|       |            |                  |            |U          |
|IC 4810 |19 03.0|-56 10|       |            |                  |  3.0       |Gx         |
|IC 4817 |19 06.2|-56 10|       |            |                  |  1.5       |Gx         |
|IC 4950 |20 08.4|-56 10|       |            |                  |  1.3       |Gx         |
|NGC 212 |00 40.1|-56 10|       |            |                  |            |Gx         |
|NGC 1533|04 09.9|-56 07| 10.9  |            |                  |  2.9       |Gx         |
|NGC 2899|09 27.0|-56 06|       |            |                  |  2.0       |Pl         |
|NGC 6848|20 02.8|-56 05|       |            |                  |  2.5       |Gx         |
|NGC 1546|04 14.6|-56 04| 11.6  |            |                  |  3.2       |Gx         |
|IC 4844 |19 19.0|-56 02|       |            |                  |  1.6       |Gx         |
|IC 2039 |04 09.0|-56 01|       |            |                  |  1.3       |Gx         |
|IC 2038 |04 08.9|-56 00|       |            |                  |  1.7       |Gx         |
|NGC 7702|23 35.4|-56 00| 12.2  |            |                  |  1.9       |Gx         |
|IC 2065 |04 21.5|-55 56|       |            |                  |  1.2       |Gx         |
|IC 2058 |04 17.9|-55 56|       |            |                  |  2.7       |Gx         |
|NGC 6799|19 32.3|-55 54|       |            |                  |  1.5       |Gx         |
|IC 4881 |19 40.4|-55 51|       |            |                  |  1.5       |Gx         |
|IC 1649 |01 11.8|-55 51|       |            |                  |  1.6       |Gx         |
|NGC 795 |01 59.8|-55 49|       |            |                  |  1.5       |Gx         |
|NGC 6780|19 22.9|-55 47| 13.0  |p           |                  |  1.9       |Gx         |
|IC 4908 |19 56.9|-55 47|       |            |                  |            |U          |
|NGC 1553|04 16.2|-55 47|  9.5  |            |                  |  4.1       |Gx         |
|NGC 159 |00 34.6|-55 47|       |            |                  |            |Gx         |
|IC 4957 |20 09.6|-55 43|       |            |                  |  1.0       |Gx         |
|NGC 3960|11 50.9|-55 42|  8.3  |            |                  |  7.0       |OC         |
|NGC 5823|15 05.7|-55 36|  7.9  |            |                  | 10.0       |OC         |
|NGC 1549|04 15.7|-55 36|  9.9  |            |                  |  3.7       |Gx         |
|NGC 6990|20 59.9|-55 34|       |            |                  |  1.1       |Gx         |
|NGC 7141|21 52.2|-55 34|       |            |                  |            |Gx         |
|NGC 7140|21 52.3|-55 34|       |            |                  |            |Gx         |
|IC 4883 |19 42.0|-55 33|       |            |                  |  1.3       |Gx         |
|NGC 2087|05 44.3|-55 32|       |            |                  |  1.1       |Gx         |
|IC 4782 |18 50.9|-55 29|       |            |                  |  1.6       |Gx         |
|IC 5027 |20 41.1|-55 29|       |            |                  |            |U          |
|IC 4952 |20 08.6|-55 27|       |            |                  |  1.3       |Gx         |
|NGC 7796|23 59.0|-55 27| 12.0  |p           |                  |  2.3       |Gx         |
|IC 4642 |17 11.8|-55 24| 13.0  |p           |                  |  0.4       |Pl         |
|NGC 454 |01 14.4|-55 24|       |            |                  |  1.9       |Gx         |
|IC 4919 |20 00.2|-55 22|       |            |                  |  1.6       |Gx         |
|NGC 6812|19 45.4|-55 21|       |            |                  |  2.1       |Gx         |
|NGC 1261|03 12.3|-55 13|  8.4  |            |                  |  6.9       |Gb         |
|IC 4882 |19 40.4|-55 12|       |            |                  |  1.2       |Gx         |
|NGC 4230|12 17.3|-55 08|  9.0  |p           |                  |  6.0       |OC         |
|IC 4818 |19 06.0|-55 08|       |            |                  |  1.6       |Gx         |
|NGC 7249|22 20.5|-55 08|       |            |                  |  1.1       |Gx         |
|NGC 2640|08 37.4|-55 07|       |            |                  |  2.5       |Gx         |
|NGC 1136|02 50.9|-55 04|       |            |                  |  1.7       |Gx         |
|NGC 1602|04 27.9|-55 03|       |            |                  |            |Gx         |
|IC 1987 |03 40.2|-55 03|       |            |                  |  1.5       |Gx         |
|IC 4986 |20 17.2|-55 02|       |            |                  |  2.0       |Gx         |
|NGC 1596|04 27.6|-55 02| 11.0  |            |                  |  3.9       |Gx         |
|IC 4821 |19 09.5|-55 01|       |            |                  |  1.8       |Gx         |
|IC 4933 |20 03.5|-54 59|       |            |                  |  2.5       |Gx         |
|NGC 6788|19 26.9|-54 57|       |            |                  |            |U          |
|NGC 1581|04 24.7|-54 56|       |            |                  |            |Gx         |
|NGC 1566|04 20.0|-54 56|  9.4  |            |                  |  7.6       |Gx         |
|NGC 1135|02 50.8|-54 56|       |            |                  |  0.8       |Gx         |
|IC 4856 |19 27.5|-54 55|       |            |                  |  1.0       |Gx         |
|NGC 1031|02 36.6|-54 52|       |            |                  |  2.2       |Gx         |
|NGC 1025|02 36.3|-54 52|       |            |                  |  1.2       |Gx         |
|NGC 6850|20 03.5|-54 51|       |            |                  |            |Gx         |
|NGC 5593|14 25.8|-54 49|       |            |                  |            |OC         |
|IC 1908 |03 15.1|-54 49|       |            |                  |  1.6       |Gx         |
|IC 5002 |20 26.7|-54 48|       |            |                  |  1.6       |Gx         |
|NGC 2995|09 44.1|-54 47|       |            |                  |            |-          |
|NGC 6867|20 10.4|-54 47|       |            |                  |            |Gx         |
|IC 5001 |20 26.3|-54 47|       |            |                  |  1.3       |Gx         |
|NGC 3105|10 00.8|-54 46|  9.7  |            |                  |  2.0       |OC         |
|IC 2066 |04 23.5|-54 45|       |            |                  |            |U          |
|IC 4837 |19 15.3|-54 40| 12.0  |p           |                  |  2.8       |Gx         |
|IC 2046 |04 11.4|-54 40|       |            |                  |            |U          |
|IC 4839 |19 15.6|-54 38|       |            |                  |  2.4       |Gx         |
|NGC 1617|04 31.7|-54 36| 10.4  |            |                  |  4.7       |Gx         |
|NGC 7090|21 36.5|-54 33| 11.0  |p           |                  |  7.1       |Gx         |
|NGC 5749|14 48.9|-54 31|  9.0  |p           |                  |  8.0       |OC         |
|NGC 5925|15 27.7|-54 31|  8.0  |p           |                  | 15.0       |OC         |
|IC 5021 |20 33.5|-54 31|       |            |                  |            |U          |
|IC 2044 |04 11.2|-54 31|       |            |                  |            |U          |
|IC 4888 |19 44.9|-54 27|       |            |                  |  1.3       |Gx         |
|IC 4944 |20 07.1|-54 27|       |            |                  |  1.9       |Gx         |
|IC 4978 |20 14.6|-54 26|       |            |                  |            |U          |
|IC 2085 |04 31.4|-54 25|       |            |                  |  2.4       |Gx         |
|NGC 6854|20 05.7|-54 23| 13.0  |p           |                  |  2.3       |Gx         |
|NGC 5822|15 05.2|-54 21|  7.0  |p           |                  | 40.0       |OC         |
|IC 4891 |19 45.3|-54 21|       |            |                  |  2.8       |Gx         |
|IC 4889 |19 45.3|-54 20| 12.0  |p           |                  |  2.6       |Gx         |
|IC 2052 |04 15.0|-54 20|       |            |                  |            |U          |
|NGC 6942|20 40.8|-54 19| 13.0  |p           |                  |  2.6       |Gx         |
|IC 4797 |18 56.5|-54 18| 11.3  |            |                  |  2.8       |Gx         |
|IC 4930 |20 02.4|-54 18|       |            |                  |            |U          |
|IC 1896 |03 08.0|-54 14|       |            |                  |            |U          |
|NGC 6067|16 13.2|-54 13|  5.6  |            |                  | 13.0       |OC         |
|IC 4796 |18 56.5|-54 13|       |            |                  |  1.6       |Gx         |
|NGC 3330|10 38.6|-54 09|  7.4  |            |                  |  7.0       |OC         |
|NGC 1523|04 06.2|-54 06|       |            |                  |            |Ast        |
|NGC 1515|04 04.1|-54 06| 11.0  |            |                  |  5.4       |Gx         |
|NGC 7689|23 32.7|-54 05| 12.0  |p           |                  |  2.8       |Gx         |
|NGC 6031|16 07.6|-54 04|  8.5  |            |                  |  2.0       |OC         |
|IC 2020 |03 59.0|-54 03|       |            |                  |            |U          |
|IC 2083 |04 30.7|-53 59|       |            |                  |  1.1       |Gx         |
|NGC 6889|20 18.9|-53 57|       |            |                  |  1.9       |Gx         |
|NGC 6725|19 01.8|-53 56|       |            |                  |            |Gx         |
|IC 4927 |20 01.8|-53 55|       |            |                  |  1.3       |Gx         |
|IC 4969 |20 12.9|-53 55|       |            |                  |  1.0       |Gx         |
|IC 2082 |04 29.1|-53 50| 12.8  |            |                  |            |Gx         |
|NGC 6208|16 49.5|-53 49|  7.2  |            |                  | 16.0       |OC         |
|NGC 6707|18 55.4|-53 49|       |            |                  |            |Gx         |
|IC 2079 |04 28.5|-53 44|       |            |                  |  1.3       |Gx         |
|NGC 6708|18 55.6|-53 43|       |            |                  |            |Gx         |
|IC 2043 |04 11.2|-53 41|       |            |                  |  1.3       |Gx         |
|IC 2033 |04 07.2|-53 41|       |            |                  |  1.3       |Gx         |
|NGC 6397|17 40.7|-53 40|  5.7  |            |                  | 25.7       |Gb         |
|IC 4941 |20 07.0|-53 39|       |            |                  |  1.2       |Gx         |
|IC 2086 |04 31.6|-53 38|       |            |                  |            |U          |
|IC 2081 |04 29.0|-53 37|       |            |                  |  1.5       |Gx         |
|IC 4966 |20 12.3|-53 36|       |            |                  |            |U          |
|IC 2050 |04 13.9|-53 29|       |            |                  |  1.4       |Gx         |
|IC 4979 |20 14.7|-53 28|       |            |                  |  1.3       |Gx         |
|IC 4994 |20 19.7|-53 27|       |            |                  |  2.0       |Gx         |
|NGC 2925|09 33.7|-53 26|  8.0  |p           |                  | 12.0       |OC         |
|IC 4920 |20 00.1|-53 23|       |            |                  |            |U          |
|NGC 1705|04 54.2|-53 22| 12.3  |            |                  |  1.8       |Gx         |
|IC 2024 |04 00.1|-53 22|       |            |                  |  1.1       |Gx         |
|NGC 6948|20 43.5|-53 21|       |            |                  |  2.5       |Gx         |
|NGC 1249|03 10.1|-53 21| 12.0  |p           |                  |  5.2       |Gx         |
|NGC 348 |01 00.9|-53 15|       |            |                  |  1.1       |Gx         |
|IC 1917 |03 22.2|-53 12|       |            |                  |            |U          |
|IC 2073 |04 26.6|-53 11|       |            |                  |  1.4       |Gx         |
|IC 1964 |03 33.6|-53 10|       |            |                  |            |U          |
|IC 4777 |18 48.1|-53 08|       |            |                  |            |U          |
|IC 4947 |20 07.5|-53 08|       |            |                  |  1.2       |Gx         |
|IC 4961 |20 11.5|-53 08|       |            |                  |  1.4       |Gx         |
|IC 2071 |04 26.2|-53 08|       |            |                  |            |U          |
|IC 1951 |03 31.1|-53 08|       |            |                  |            |U          |
|IC 4959 |20 11.0|-53 06|       |            |                  |            |U          |
|IC 2391 |08 40.2|-53 04|  2.5  |            |                  | 50.0       |OC         |
|IC 2025 |04 00.4|-53 04|       |            |                  |  1.1       |Gx         |
|IC 1938 |03 27.2|-53 01|       |            |                  |            |U          |
|NGC 323 |00 56.7|-52 59|       |            |                  |  1.3       |Gx         |
|NGC 2669|08 44.9|-52 58|  6.1  |            |                  | 12.0       |OC         |
|NGC 328 |00 57.0|-52 55|       |            |                  |  2.8       |Gx         |
|NGC 2910|09 30.4|-52 54|  7.2  |            |                  |  5.0       |OC         |
|IC 4761 |18 43.9|-52 51|       |            |                  |  1.7       |Gx         |
|IC 4876 |19 37.7|-52 51|       |            |                  |  1.2       |Gx         |
|IC 4925 |20 01.2|-52 51|       |            |                  |            |U          |
|IC 4932 |20 02.3|-52 50|       |            |                  |            |U          |
|IC 2029 |04 01.3|-52 48|       |            |                  |  1.3       |Gx         |
|NGC 6887|20 17.2|-52 47| 12.0  |p           |                  |  4.1       |Gx         |
|IC 2018 |03 57.9|-52 47|       |            |                  |  1.2       |Gx         |
|IC 1933 |03 25.7|-52 47| 13.0  |p           |                  |  2.5       |Gx         |
|NGC 685 |01 47.8|-52 47| 12.0  |p           |                  |  4.1       |Gx         |
|NGC 312 |00 56.3|-52 47|       |            |                  |  1.8       |Gx         |
|NGC 7064|21 29.0|-52 46| 13.0  |p           |                  |  4.1       |Gx         |
|IC 5125 |21 41.8|-52 46|       |            |                  |  1.4       |Gx         |
|NGC 6253|16 59.1|-52 43| 10.0  |p           |                  |  5.0       |OC         |
|IC 4975 |20 14.0|-52 43|       |            |                  |  1.3       |Gx         |
|IC 4984 |20 16.3|-52 43|       |            |                  |            |U          |
|IC 1920 |03 24.2|-52 43|       |            |                  |            |U          |
|IC 5162 |22 08.1|-52 43|       |            |                  |            |U          |
|IC 2028 |04 01.3|-52 42|       |            |                  |  1.1       |Gx         |
|NGC 7106|21 42.6|-52 42|       |            |                  |  1.8       |Gx         |
|NGC 5764|14 53.6|-52 41| 13.0  |p           |                  |  2.0       |OC         |
|IC 2023 |03 59.7|-52 41|       |            |                  |            |U          |
|NGC 1522|04 06.1|-52 40|       |            |                  |            |Gx         |
|IC 2021 |03 59.4|-52 40|       |            |                  |            |U          |
|IC 1942 |03 28.0|-52 40|       |            |                  |            |U          |
|IC 4915 |19 58.5|-52 38|       |            |                  |  1.4       |Gx         |
|IC 4923 |20 01.0|-52 38|       |            |                  |  1.3       |Gx         |
|IC 1971 |03 36.0|-52 38|       |            |                  |            |U          |
|IC 1945 |03 29.3|-52 38|       |            |                  |            |U          |
|NGC 6152|16 32.7|-52 37|  8.0  |p           |                  | 30.0       |OC         |
|IC 4942 |20 06.8|-52 37|       |            |                  |  1.3       |Gx         |
|IC 4995 |20 20.0|-52 37|       |            |                  |  1.7       |Gx         |
|IC 1946 |03 29.4|-52 37|       |            |                  |            |U          |
|NGC 1506|04 00.4|-52 34|       |            |                  |            |Gx         |
|NGC 7007|21 05.5|-52 33| 13.0  |p           |                  |  1.9       |Gx         |
|NGC 2191|06 08.4|-52 31|       |            |                  |  1.9       |Gx         |
|IC 4907 |19 56.2|-52 27|       |            |                  |            |U          |
|IC 1957 |03 32.2|-52 27|       |            |                  |            |U          |
|IC 4879 |19 39.7|-52 22|       |            |                  |            |U          |
|NGC 1500|03 58.2|-52 19|       |            |                  |            |Gx         |
|NGC 2502|07 55.9|-52 18|       |            |                  |  2.1       |Gx         |
|IC 4918 |19 59.3|-52 17|       |            |                  |            |U          |
|IC 4987 |20 17.3|-52 17|       |            |                  |  1.4       |Gx         |
|IC 4917 |19 58.9|-52 16|       |            |                  |  1.2       |Gx         |
|NGC 6584|18 18.6|-52 13|  9.2  |            |                  |  7.9       |Gb         |
|NGC 1311|03 20.1|-52 10|       |            |                  |            |Gx         |
|NGC 6937|20 38.8|-52 09|       |            |                  |  3.0       |Gx         |
|IC 1940 |03 27.7|-52 08|       |            |                  |            |U          |
|NGC 6935|20 38.4|-52 06| 13.0  |p           |                  |  2.0       |Gx         |
|IC 1879 |03 03.9|-52 06|       |            |                  |            |U          |
|IC 1878 |03 03.7|-52 06|       |            |                  |            |U          |
|NGC 2101|05 46.4|-52 05|       |            |                  |  1.9       |Gx         |
|IC 4983 |20 16.1|-52 05|       |            |                  |  1.1       |Gx         |
|IC 4875 |19 37.7|-52 04|       |            |                  |  1.3       |Gx         |
|IC 1972 |03 36.4|-52 01|       |            |                  |            |U          |
|IC 4877 |19 37.9|-51 59|       |            |                  |  1.1       |Gx         |
|IC 1973 |03 36.4|-51 59|       |            |                  |            |U          |
|IC 4200 |13 09.6|-51 58|       |            |                  |  1.4       |Gx         |
|NGC 6115|16 24.6|-51 58| 11.0  |p           |                  |  3.0       |OC         |
|IC 4911 |19 57.7|-51 58|       |            |                  |            |U          |
|NGC 5800|15 02.0|-51 55|       |            |                  |            |-          |
|IC 1954 |03 31.6|-51 55| 12.0  |p           |                  |  3.6       |Gx         |
|IC 4897 |19 49.3|-51 52|       |            |                  |  1.1       |Gx         |
|NGC 6984|20 57.9|-51 52| 13.0  |p           |                  |  1.7       |Gx         |
|IC 4894 |19 47.0|-51 51|       |            |                  |  0.9       |Gx         |
|NGC 6982|20 57.4|-51 51|       |            |                  |            |Gx         |
|IC 4886 |19 43.1|-51 48|       |            |                  |  1.5       |Gx         |
|NGC 6326|17 20.8|-51 45| 12.0  |p           |                  |  0.2       |Pl         |
|NGC 7168|22 02.1|-51 45| 13.0  |p           |                  |  2.0       |Gx         |
|NGC 3228|10 21.8|-51 43|  6.0  |            |                  | 18.0       |OC         |
|IC 1927 |03 25.2|-51 43|       |            |                  |            |U          |
|IC 1926 |03 25.2|-51 41|       |            |                  |            |U          |
|IC 1924 |03 25.0|-51 41|       |            |                  |            |U          |
|NGC 7690|23 32.9|-51 41| 13.0  |p           |                  |  2.8       |Gx         |
|IC 1994 |03 45.8|-51 40|       |            |                  |            |U          |
|NGC 576 |01 28.9|-51 36|       |            |                  |  1.2       |Gx         |
|NGC 1578|04 23.8|-51 35|       |            |                  |            |Gx         |
|NGC 2104|05 47.1|-51 33|       |            |                  |  2.0       |Gx         |
|IC 1991 |03 44.7|-51 33|       |            |                  |            |U          |
|IC 1958 |03 32.8|-51 27|       |            |                  |            |U          |
|NGC 5286|13 46.4|-51 22|  7.6  |            |                  |  9.1       |Gb         |
|IC 4900 |19 50.3|-51 20|       |            |                  |            |U          |
|IC 1932 |03 25.9|-51 20|       |            |                  |            |U          |
|IC 1966 |03 34.1|-51 19|       |            |                  |            |U          |
|IC 1936 |03 26.4|-51 19|       |            |                  |            |U          |
|IC 5152 |22 02.9|-51 17| 12.0  |p           |                  |  4.5       |Gx         |
|IC 2195 |07 28.4|-51 15|       |            |                  |            |U          |
|IC 1929 |03 25.5|-51 15|       |            |                  |            |U          |
|IC 1925 |03 25.3|-51 15|       |            |                  |            |U          |
|NGC 5307|13 51.1|-51 12| 12.0  |p           |                  |  0.2       |Pl         |
|IC 1615 |01 04.1|-51 08|       |            |                  |  1.2       |Gx         |
|NGC 2866|09 22.0|-51 05|       |            |                  |            |-          |
|IC 4312 |13 40.5|-51 04|       |            |                  |  1.6       |Gx         |
|IC 1939 |03 27.8|-51 04|       |            |                  |            |U          |
|IC 4311 |13 40.1|-51 03|       |            |                  |            |U          |
|IC 2141 |05 42.3|-51 02|       |            |                  |            |U          |
|IC 1617 |01 04.3|-51 02|       |            |                  |  1.5       |Gx         |
|IC 1992 |03 45.1|-51 01|       |            |                  |            |U          |
|NGC 2008|05 35.1|-50 59|       |            |                  |            |Gx         |
|IC 1989 |03 41.9|-50 57|       |            |                  |  1.2       |Gx         |
|NGC 2007|05 35.0|-50 56|       |            |                  |            |Gx         |
|NGC 2152|06 00.9|-50 44|       |            |                  |  1.3       |Gx         |
|IC 1922 |03 24.7|-50 44|       |            |                  |            |U          |
|NGC 3778|11 38.4|-50 43|       |            |                  |  1.4       |Gx         |
|IC 1921 |03 24.7|-50 42|       |            |                  |            |U          |
|IC 1915 |03 19.7|-50 42|       |            |                  |            |U          |
|NGC 5927|15 28.0|-50 40|  8.3  |            |                  | 12.0       |Gb         |
|NGC 5946|15 35.5|-50 40|  9.6  |            |                  |  7.1       |Gb         |
|NGC 6761|19 15.3|-50 40|       |            |                  |  2.2       |Gx         |
|NGC 7151|21 55.0|-50 40|       |            |                  |            |Gx         |
|IC 4550 |15 34.8|-50 39|       |            |                  |            |U          |
|NGC 6754|19 11.4|-50 39| 13.0  |p           |                  |  2.2       |Gx         |
|IC 1912 |03 16.8|-50 39|       |            |                  |            |U          |
|IC 1674 |01 19.0|-50 39|       |            |                  |            |U          |
|IC 1968 |03 34.7|-50 38|       |            |                  |            |U          |
|IC 1903 |03 13.1|-50 36|       |            |                  |            |U          |
|IC 4544 |15 29.4|-50 35|       |            |                  |            |U          |
|NGC 2115|05 51.3|-50 35|       |            |                  |  1.2       |Gx         |
|IC 1923 |03 24.8|-50 34|       |            |                  |            |U          |
|NGC 7124|21 48.1|-50 34| 13.0  |p           |                  |  2.7       |Gx         |
|IC 1877 |03 03.2|-50 31|       |            |                  |  3.0       |Gx         |
|NGC 2999|09 45.2|-50 26|       |            |                  |            |-          |
|NGC 6899|20 24.4|-50 26|       |            |                  |  1.9       |Gx         |
|IC 1950 |03 31.1|-50 26|       |            |                  |  1.3       |Gx         |
|IC 1959 |03 33.2|-50 25|       |            |                  |  2.5       |Gx         |
|IC 1650 |01 12.3|-50 24|       |            |                  |  1.5       |Gx         |
|NGC 2972|09 40.3|-50 20|  9.9  |            |                  |  4.0       |OC         |
|IC 3896 |12 56.6|-50 19| 13.0  |p           |                  |  2.2       |Gx         |
|IC 1947 |03 30.6|-50 19|       |            |                  |            |U          |
|NGC 1356|03 30.7|-50 17|       |            |                  |            |Gx         |
|IC 4916 |19 58.3|-50 16|       |            |                  |  1.3       |Gx         |
|NGC 238 |00 43.4|-50 11|       |            |                  |  1.9       |Gx         |
|NGC 1556|04 17.7|-50 10|       |            |                  |            |Gx         |
|IC 1978 |03 37.1|-50 09|       |            |                  |  1.2       |Gx         |
|IC 4914 |19 58.1|-50 07|       |            |                  |            |U          |
|NGC 7196|22 06.0|-50 07| 11.5  |            |                  |  1.9       |Gx         |
|NGC 7470|23 05.2|-50 07|       |            |                  |  1.5       |Gx         |
|IC 4909 |19 56.7|-50 03|       |            |                  |  2.1       |Gx         |
|IC 1935 |03 26.2|-50 01|       |            |                  |  1.3       |Gx         |
|NGC 7200|22 07.2|-50 00|       |            |                  |  1.6       |Gx         |
|IC 4651 |17 24.7|-49 57|  6.9  |            |                  | 12.0       |OC         |
|NGC 5234|13 37.5|-49 50|       |            |                  |  1.2       |Gx         |
|NGC 6167|16 34.4|-49 36|  6.7  |            |                  |  8.0       |OC         |
|IC 1914 |03 19.4|-49 36|       |            |                  |  3.8       |Gx         |
|NGC 1803|05 05.4|-49 34|       |            |                  |  1.1       |Gx         |
|IC 1974 |03 36.7|-49 34|       |            |                  |            |U          |
|NGC 7155|21 56.2|-49 32| 13.0  |p           |                  |  1.9       |Gx         |
|NGC 4976|13 08.6|-49 30| 10.2  |            |                  |  4.3       |Gx         |
|NGC 4945|13 05.4|-49 28|  9.0  |p           |                  | 20.0       |Gx         |
|IC 2004 |03 51.8|-49 25|       |            |                  |            |U          |
|IC 2053 |04 15.8|-49 22|       |            |                  |            |U          |
|NGC 7022|21 09.5|-49 18|       |            |                  |            |Gx         |
|NGC 7029|21 11.9|-49 17| 11.8  |            |                  |  1.4       |Gx         |
|NGC 2547|08 10.7|-49 16|  4.7  |            |                  | 20.0       |OC         |
|NGC 6134|16 27.7|-49 09|  7.2  |            |                  |  7.0       |OC         |
|NGC 7004|21 03.9|-49 07|       |            |                  |            |Gx         |
|NGC 7061|21 27.4|-49 04|       |            |                  |  1.5       |Gx         |
|IC 1916 |03 20.3|-49 03|       |            |                  |            |U          |
|IC 5143 |21 56.3|-49 03|       |            |                  |            |U          |
|NGC 7002|21 03.6|-49 01|       |            |                  |            |Gx         |
|IC 2009 |03 53.6|-48 59|       |            |                  |  1.9       |Gx         |
|IC 1961 |03 33.6|-48 57|       |            |                  |            |U          |
|NGC 5156|13 28.7|-48 55| 13.0  |p           |                  |  2.1       |Gx         |
|IC 2055 |04 17.8|-48 55|       |            |                  |            |U          |
|NGC 1494|03 57.7|-48 54| 12.0  |p           |                  |  2.6       |Gx         |
|IC 1605 |00 57.6|-48 54|       |            |                  |  1.6       |Gx         |
|IC 2000 |03 49.1|-48 52|       |            |                  |  3.8       |Gx         |
|NGC 6970|20 52.1|-48 48| 12.7  |            |                  |  1.2       |Gx         |
|NGC 2670|08 45.5|-48 47|  7.8  |            |                  |  9.0       |OC         |
|NGC 6188|16 40.5|-48 47|       |            |                  | 20.0       |Nb         |
|NGC 4785|12 53.5|-48 46|       |            |                  |            |Gx         |
|NGC 6193|16 41.3|-48 46|  5.2  |            |                  | 15.0       |OC         |
|NGC 1995|05 32.5|-48 42|       |            |                  |            |DS         |
|IC 1937 |03 26.8|-48 42|       |            |                  |            |U          |
|NGC 1998|05 33.3|-48 41|       |            |                  |            |Gx         |
|NGC 89  |00 21.3|-48 41|       |            |                  |            |Gx         |
