BatchStart
|name    |ra     |dec   |app_mag|app_mag_flag|limit_ang_diameter|ang_diameter|source_type|
|NGC 2199|06 04.7|-73 24|       |            |                  |            |Gx         |
|NGC 220 |00 40.5|-73 24| 11.0  |p           |                  |            |OC         |
|NGC 222 |00 40.6|-73 24| 11.0  |p           |                  |            |OC         |
|NGC 248 |00 45.4|-73 23|       |            |                  |            |Nb         |
|NGC 231 |00 41.0|-73 22| 12.0  |p           |                  |            |OC         |
|NGC 294 |00 52.1|-73 21|       |            |                  |            |Nb         |
|NGC 465 |01 15.5|-73 20|       |            |                  |            |OC         |
|IC 5102 |21 26.3|-73 19|       |            |                  |            |U          |
|IC 4484 |14 47.7|-73 18|       |            |                  |  2.5       |Gx         |
|NGC 456 |01 14.4|-73 17|       |            |                  | 15.0       |Nb         |
|IC 1626 |01 06.1|-73 17|       |            |                  |            |U          |
|NGC 267 |00 48.0|-73 17|       |            |                  |            |C+N        |
|NGC 6653|18 44.6|-73 16|       |            |                  |  1.8       |Gx         |
|NGC 6151|16 38.3|-73 15|       |            |                  |            |U          |
|IC 2596 |10 34.2|-73 14|       |            |                  |  1.4       |Gx         |
|IC 1644 |01 09.2|-73 12|       |            |                  |            |U          |
|NGC 176 |00 35.8|-73 11| 12.0  |p           |                  |            |OC         |
|IC 5066 |20 57.1|-73 09|       |            |                  |            |U          |
|NGC 290 |00 51.3|-73 09| 12.0  |p           |                  |            |OC         |
|NGC 152 |00 32.8|-73 09| 12.0  |p           |                  |            |Gb         |
|NGC 261 |00 46.5|-73 07|       |            |                  |            |Nb         |
|NGC 249 |00 45.4|-73 05|       |            |                  |            |Nb         |
|NGC 2173|05 58.1|-72 59|       |            |                  |            |Gb         |
|IC 5072 |21 02.0|-72 59|       |            |                  |            |U          |
|IC 5016 |20 35.6|-72 55|       |            |                  |            |U          |
|NGC 419 |01 08.3|-72 53| 10.0  |            |                  |  2.6       |Gb         |
|NGC 5833|15 11.8|-72 52|       |            |                  |            |Gx         |
|NGC 292 |00 52.8|-72 50|       |            |                  |            |Gx         |
|NGC 376 |01 03.9|-72 49|       |            |                  |            |U          |
|IC 4958 |20 15.5|-72 42|       |            |                  |            |U          |
|IC 5008 |20 32.7|-72 42|       |            |                  |  1.2       |Gx         |
|IC 5073 |21 03.3|-72 41|       |            |                  |  1.2       |Gx         |
|NGC 4372|12 25.8|-72 40|  7.8  |            |                  | 18.6       |Gb         |
|IC 4746 |18 45.9|-72 40|       |            |                  |            |U          |
|IC 5108 |21 32.9|-72 40|       |            |                  |  1.4       |Gx         |
|IC 5071 |21 01.3|-72 39|       |            |                  |  3.5       |Gx         |
|IC 4747 |18 45.9|-72 37|       |            |                  |            |U          |
|NGC 6209|16 55.1|-72 32|       |            |                  |            |Gx         |
|IC 4893 |19 50.6|-72 31|       |            |                  |            |U          |
|NGC 1944|05 21.9|-72 30|       |            |                  |            |OC         |
|NGC 330 |00 56.2|-72 29|  9.6  |            |                  |  2.0       |OC         |
|NGC 5799|15 05.5|-72 26|       |            |                  |            |Gx         |
|IC 4822 |19 14.9|-72 26|       |            |                  |            |U          |
|IC 5123 |21 44.8|-72 25|       |            |                  |  1.9       |Gx         |
|IC 1612 |01 00.0|-72 23|       |            |                  |            |U          |
|NGC 416 |01 08.1|-72 21| 11.0  |            |                  |  1.1       |Gb         |
|IC 1611 |00 59.7|-72 21|       |            |                  |            |U          |
|NGC 460 |01 14.8|-72 18|       |            |                  |            |C+N        |
|IC 4841 |19 20.8|-72 13|       |            |                  |            |U          |
|NGC 306 |00 54.9|-72 13| 12.0  |p           |                  |            |C+N        |
|NGC 6101|16 25.8|-72 12|  9.3  |            |                  | 10.7       |Gb         |
|NGC 346 |00 59.1|-72 11| 10.3  |            |                  | 14.0       |C+N        |
|IC 5009 |20 32.6|-72 10|       |            |                  |            |U          |
|NGC 299 |00 54.0|-72 10| 11.0  |p           |                  |            |C+N        |
|NGC 371 |01 03.3|-72 05|       |            |                  |  8.0       |OC         |
|NGC 104 |00 24.1|-72 05|  4.0  |            |                  | 30.9       |Gb         |
|NGC 1890|05 13.9|-72 04|       |            |                  |            |OC         |
|IC 1624 |01 05.3|-72 02|       |            |                  |            |U          |
|NGC 395 |01 05.3|-72 00|       |            |                  |            |U          |
|IC 5045 |20 50.7|-71 58|       |            |                  |            |U          |
|IC 5044 |20 50.6|-71 57|       |            |                  |            |U          |
|NGC 2000|05 27.4|-71 55|       |            |                  |            |OC         |
|NGC 1789|04 57.8|-71 54|       |            |                  |            |OC         |
|IC 5075 |21 04.5|-71 51|       |            |                  |            |U          |
|NGC 1629|04 29.3|-71 50|       |            |                  |            |OC         |
|NGC 1840|05 06.4|-71 49|       |            |                  |            |OC         |
|IC 5048 |20 51.6|-71 48|       |            |                  |            |U          |
|IC 5069 |21 00.0|-71 48|       |            |                  |            |U          |
|IC 5051 |20 52.3|-71 47|       |            |                  |            |U          |
|IC 1641 |01 09.3|-71 46|       |            |                  |            |U          |
|NGC 422 |01 08.9|-71 46|       |            |                  |            |U          |
|NGC 411 |01 07.9|-71 46|       |            |                  |            |U          |
|IC 1660 |01 12.6|-71 45|       |            |                  |            |U          |
|NGC 2025|05 33.1|-71 44|       |            |                  |            |OC         |
